Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,37.40,43.60,36.80,43.55,754800,43.55
2014-12-22,35.00,37.50,34.50,36.35,84100,36.35
2014-12-19,34.40,36.10,33.40,35.00,61100,35.00
2014-12-18,32.25,34.75,32.00,33.65,56700,33.65
2014-12-17,31.95,33.90,29.10,31.65,108300,31.65
2014-12-16,35.00,35.00,31.30,32.25,125100,32.25
2014-12-15,37.95,37.95,34.50,34.95,43200,34.95
2014-12-12,39.60,39.60,35.05,35.70,43100,35.70
2014-12-11,38.50,39.35,37.50,37.90,34700,37.90
2014-12-10,38.80,39.50,37.55,38.90,93900,38.90
2014-12-09,39.00,39.80,37.20,37.40,88100,37.40
2014-12-08,42.00,42.00,38.10,39.00,103800,39.00
2014-12-05,41.85,42.00,40.50,40.90,81800,40.90
2014-12-04,42.10,42.60,40.50,41.00,130800,41.00
2014-12-03,42.90,44.40,41.50,41.95,321200,41.95
2014-12-02,42.80,42.80,41.20,42.25,203700,42.25
2014-12-01,43.50,51.10,41.00,42.30,335800,42.30
2014-11-28,40.70,43.95,40.10,42.60,329600,42.60
2014-11-27,40.30,40.75,39.95,40.55,77500,40.55
2014-11-26,39.45,41.65,39.25,40.15,105700,40.15
2014-11-25,41.50,41.60,38.45,38.85,118600,38.85
2014-11-24,40.75,43.10,40.75,41.10,113200,41.10
2014-11-21,41.60,44.50,41.00,41.70,383000,41.70
2014-11-20,43.35,44.00,39.75,41.60,389300,41.60
2014-11-19,45.75,46.70,41.50,42.40,588100,42.40
2014-11-18,38.50,44.70,37.50,44.65,663700,44.65
2014-11-17,34.45,39.50,33.50,37.25,51600,37.25
2014-11-14,33.15,34.50,33.00,33.55,3600,33.55
2014-11-13,33.90,34.40,33.40,33.85,1000,33.85
2014-11-12,34.00,34.00,32.55,33.85,2300,33.85
2014-11-11,34.50,34.95,33.30,33.40,1800,33.40
2014-11-10,34.95,35.00,33.60,33.70,2900,33.70
2014-11-07,36.55,36.55,33.60,34.05,9600,34.05
2014-11-06,34.55,34.55,34.55,34.55,000,34.55
2014-11-05,33.60,35.00,33.60,34.55,14800,34.55
2014-11-04,34.95,34.95,34.95,34.95,000,34.95
2014-11-03,33.60,36.00,33.00,34.95,4300,34.95
2014-10-31,35.50,35.95,33.60,34.45,10000,34.45
2014-10-30,35.85,37.00,34.10,36.05,9700,36.05
2014-10-29,34.00,35.45,33.50,33.75,2100,33.75
2014-10-28,33.15,35.00,33.05,34.75,8100,34.75
2014-10-27,33.00,35.50,33.00,35.00,600,35.00
2014-10-24,33.40,33.40,33.40,33.40,000,33.40
2014-10-23,33.40,33.40,33.40,33.40,000,33.40
2014-10-22,33.00,34.00,31.00,33.40,700,33.40
2014-10-21,32.50,33.40,31.00,31.50,3500,31.50
2014-10-20,34.75,39.75,31.10,32.05,56600,32.05
2014-10-17,35.50,35.50,31.20,33.15,3700,33.15
2014-10-16,32.50,34.00,31.00,33.00,4100,33.00
2014-10-15,34.50,34.50,34.50,34.50,000,34.50
2014-10-14,36.00,36.00,34.50,34.50,2600,34.50
2014-10-13,32.70,33.00,32.65,33.00,500,33.00
2014-10-10,33.40,34.75,32.95,33.00,300,33.00
2014-10-09,34.95,34.95,32.90,33.05,1000,33.05
2014-10-08,35.95,35.95,32.65,34.30,10800,34.30
2014-10-07,35.00,35.00,33.00,34.60,500,34.60
2014-10-06,32.90,32.90,32.90,32.90,000,32.90
2014-10-03,32.90,32.90,32.90,32.90,000,32.90
2014-10-02,32.90,32.90,32.90,32.90,000,32.90
2014-10-01,32.15,34.95,30.15,32.90,4000,32.90
2014-09-30,34.00,34.00,32.70,32.70,11100,32.70
2014-09-29,34.75,34.90,34.75,34.90,800,34.90
2014-09-26,35.45,35.45,33.55,34.00,7600,34.00
2014-09-25,35.00,36.45,34.05,35.00,1600,35.00
2014-09-24,37.70,38.00,36.05,36.05,3700,36.05
2014-09-23,39.00,39.00,37.00,37.00,14600,37.00
2014-09-22,38.50,39.00,38.00,38.00,12600,38.00
2014-09-19,36.95,38.00,36.50,37.90,16200,37.90
2014-09-18,35.10,37.00,35.10,36.40,7800,36.40
2014-09-17,36.30,36.70,35.25,35.50,900,35.50
2014-09-16,38.00,38.00,36.00,36.50,13900,36.50
2014-09-15,37.75,38.05,37.20,38.00,17800,38.00
2014-09-12,38.70,38.70,37.00,37.10,16900,37.10
2014-09-11,38.00,39.00,37.20,37.60,22300,37.60
2014-09-10,36.00,39.15,36.00,38.00,34500,38.00
2014-09-09,36.50,37.50,35.85,36.50,18800,36.50
2014-09-08,38.75,39.25,35.05,37.00,3500,37.00
2014-09-05,38.25,38.25,37.50,37.50,900,37.50
2014-09-04,36.65,38.85,36.50,38.10,67300,38.10
2014-09-03,38.00,38.00,36.15,38.00,65800,38.00
2014-09-02,38.50,38.50,36.05,38.00,63100,38.00
2014-09-01,35.30,37.00,35.30,36.90,2200,36.71
2014-08-29,35.45,35.45,35.45,35.45,000,35.08
2014-08-28,35.60,36.25,35.25,35.45,5500,35.08
2014-08-27,35.25,37.60,35.25,36.90,37800,36.51
2014-08-26,36.00,37.30,35.00,35.85,14800,35.47
2014-08-25,36.50,37.30,35.40,36.40,6200,36.02
2014-08-22,38.10,38.10,37.00,37.25,4100,36.86
2014-08-21,38.50,39.85,38.40,38.40,1300,38.00
2014-08-20,38.10,39.90,38.10,39.00,17000,38.59
2014-08-19,39.40,39.95,37.45,39.90,27900,39.48
2014-08-18,39.50,40.20,38.05,39.40,11500,38.99
2014-08-15,39.80,39.80,39.80,39.80,000,39.38
2014-08-14,39.50,40.45,37.55,39.80,21700,39.38
2014-08-13,40.00,40.00,37.00,39.15,10700,38.74
